filename,width,height,class,xmin,ymin,xmax,ymax
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Numéro_Facture,3232,780,3627,893
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Date_Facturation,3338,1804,3777,1903
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Produits,533,2592,3787,3195
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Total_TTC,679,3418,867,3499
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Nom_Client,3423,4115,3783,4215
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Tel_Client,3327,4292,3772,4360
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Email_Client,3080,4381,3774,4456
671_png_jpg.rf.p73UNqF5SQDjw12vTAI6.jpg,4136,5849,Adresse_Facturation,3007,4467,3772,4549
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Numéro_Facture,711,133,821,150
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Date_Facturation,785,200,878,219
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Echéance,759,236,849,258
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Nom_Client,246,167,394,187
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Adresse_Facturation,211,195,438,260
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Produits,48,363,940,539
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Pourcentage_TVA,113,767,168,789
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Pourcentage_TVA,116,793,167,816
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Total_Hors_TVA,1102,735,1160,757
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Remise,1114,767,1160,791
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,TVA,1112,806,1164,823
20230023827_page-0001_jpg.rf.S624f9E4KGnbtvWX7cIB.jpg,1241,1754,Total_TTC,1104,872,1163,900
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Numéro_Facture,2109,814,2286,866
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Date_Facturation,1892,889,2290,947
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Nom_Client,203,1226,675,1290
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Adresse_Facturation,203,1299,728,1573
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Produits,272,2099,2192,2407
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Total_Hors_TVA,2044,2613,2182,2658
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Total_TTC,2056,2808,2185,2858
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,TVA,2061,2713,2185,2759
506_jpg.rf.4CdMx6ukVmNGsRkp9EMS.jpg,2480,3507,Pourcentage_TVA,1943,2711,2054,2758
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Numéro_Facture,473,2145,787,2246
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Date_Facturation,307,2268,1032,2378
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Nom_Client,3218,2123,3885,2242
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Adresse_Facturation,3210,2257,3907,2464
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Produits,294,3201,3706,3628
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Total_TTC,3437,4192,3701,4334
384_png_jpg.rf.4HJrMLKzFyHhr8eQk7dv.jpg,4134,5847,Echéance,318,4888,1391,4998
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Numéro_Facture,805,1713,1302,1823
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Date_Facturation,552,1847,1124,1949
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Echéance,510,1970,1110,2090
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Nom_Client,2657,1751,3550,1860
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Adresse_Facturation,2647,1863,3910,1956
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Email_Client,2647,2079,3700,2186
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Tel_Client,2649,1954,3332,2060
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Produits,226,2844,3906,3281
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Total_Hors_TVA,3538,3461,3824,3547
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Pourcentage_Remise,3272,3676,3417,3757
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Pourcentage_TVA,3266,3858,3411,3945
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,TVA,3519,3843,3754,3966
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Remise,3513,3673,3812,3769
339_png_jpg.rf.p0nyY98vF5KpeOjGbZya.jpg,4250,5500,Total_TTC,3531,4050,3840,4151
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Numéro_Facture,650,236,702,255
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Date_Facturation,628,263,700,281
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Echéance,630,316,699,334
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Adresse_Livraison,267,263,391,320
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Nom_Client,54,264,145,279
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Adresse_Facturation,52,281,142,315
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Produits,39,507,718,598
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Total_TTC,549,381,708,426
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Total_Hors_TVA,656,615,700,631
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,TVA,661,643,700,656
203_png_jpg.rf.owNHUbPJw3APdaCWS9S4.jpg,750,1061,Pourcentage_TVA,495,642,538,656
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Numéro_Facture,3456,1571,3746,1658
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Date_Facturation,3264,1830,3746,1922
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Echéance,3282,1953,3746,2052
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Nom_Client,500,1556,1385,1667
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Adresse_Facturation,510,1697,1862,1805
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Email_Client,500,1952,1553,2063
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Tel_Client,507,1821,1104,1922
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Produits,491,2704,3792,3038
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Total_TTC,3458,4264,3749,4379
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Total_Hors_TVA,3570,3468,3761,3563
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Pourcentage_TVA,2927,3647,3137,3795
362_png_jpg.rf.SetUJvhi4XZZxx0wN8ld.jpg,4250,5500,Pourcentage_Remise,2927,3851,3143,4017
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Numéro_Facture,947,173,1091,201
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Date_Facturation,1049,267,1166,301
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Echéance,1007,314,1128,344
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Nom_Client,328,222,522,251
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Adresse_Facturation,283,273,575,340
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Produits,60,483,1253,738
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Pourcentage_TVA,160,1009,221,1037
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Total_Hors_TVA,1467,965,1544,997
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Remise,1481,1009,1547,1045
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,TVA,1482,1061,1548,1088
20190609626_jpg.rf.1S0py5G0GygiFP0OCk47.jpg,1654,2339,Total_TTC,1466,1155,1546,1188
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Numéro_Facture,1847,200,2082,260
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Date_Facturation,1659,286,2007,346
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Echéance,1770,365,2130,433
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Nom_Client,203,215,600,280
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Adresse_Facturation,197,298,839,363
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Email_Client,205,464,754,529
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Tel_Client,201,377,555,440
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Produits,291,1453,2156,1664
499_jpg.rf.4JysA4uP9HqGHWEnI4rs.jpg,2550,3300,Total_Hors_TVA,1994,1840,2148,1899
